# sci/worklog.csv — journal de suivi SCI (volet A : réalisation)
# Méthode : docs/sci.md. Chaque ligne = une session de travail.
# type_donnee : mesure | estimation
# duree_h : à compléter/ajuster par l'auteur (A_COMPLETER si inconnu)
# tokens : total cumulé estimé ou mesuré (in+out, relecture comprise)
# co2e_g : fourchette basse-haute en grammes CO2e (facteurs : sci/factors.yaml)
# Les sessions Claude Code dans le dossier du repo ne se loguent PAS ici :
# elles sont comptées automatiquement (export hebdo npx ccusage@latest
# daily --json > sci/ai-usage/AAAA-Wss.json). Ici : claude.ai, temps humain,
# CI, rédaction, mesures matérielles.
date,phase,activite,outil,duree_h,tokens,co2e_g_min,co2e_g_max,type_donnee,commentaire
2026-06-07,conception,"Design complet : concept, faisabilite, game design, plan, docs (PROJECT.md, decisions.md, sci.md, linkedin.md)",claude.ai,A_COMPLETER,400000,5,75,estimation,"Recette sci.md : ~10 tours ; 25-30k tokens texte x5 (relecture cumulative) + 15-30k/tour (systeme+outils+~10 recherches web) = 300-450k brut ; fourchette x0.5/x2 -> 150k-900k, central 400k. Energie 15-150 Wh (~40-60 appels x 0.3-3 Wh), mix datacenter 400-500 gCO2e/kWh."
2026-06-07,conception,"Energie poste de travail pendant les sessions claude.ai",laptop,A_COMPLETER,,2,30,estimation,"duree_h x 20-40 W x mix local (France ~50 gCO2e/kWh : prendre fourchette basse). A recalculer quand duree_h connue ; wattmetre a partir de la phase 0."
2026-06-07,phase0,"Creation du repo pongbros + premiere session Claude Code",claude-code,A_COMPLETER,,,,mesure,"Tokens comptes automatiquement (logs ~/.claude/projects/...pongbros, lecture via ccusage, retroactif). Ne pas dupliquer ici."
2026-06-11,phase1,"Playtests MVP terrain — 2 sessions",smartphone,4,,1,2,estimation,"2 jours x 2h, ~2 smartphones par session (iPhone 11). CO2e embarqué non inclus ici (cf. factors.yaml B1)."
2026-06-11,phase1,"Sessions claude.ai web — challenger idées game design + synthèse retours playtests",claude.ai,3.5,,2,60,estimation,"Estimation 3-4h sessions claude.ai web (W24). Tokens non mesurés (hors Claude Code). Fourchette CO2e à calculer via factors.yaml ai_inference."
2026-06-11,phase1,"Synthèse playtests — rédaction notes et décisions",laptop,2,,2,6,estimation,"Temps humain W24 — durée à préciser."
2026-06-17,phase1,"Playtest MVP terrain — 1 session",smartphone,2,,0,1,estimation,"1 jour x 2h, ~2 smartphones (W25)."
2026-06-20,phase1,"Export ccusage W20–W25, complétion worklog W24-W25, création docs/sci-bilan.md (bilan SCI)",claude-code,1,,,,mesure,"Tokens comptés automatiquement via ccusage. CO2e à calculer en fin de phase 1."
2026-06-21,phase1,"Approach indicator v2 — design (D06 option B) + implémentation + PR",claude.ai,1,,5,50,estimation,"Session intégrant discussion design + revue décisions via claude.ai web. Implémentation Claude Code comptée automatiquement via ccusage W25."
2026-06-21,phase2,"Playtest #5 + analyse retour + fix touch/tilt + go phase 3",laptop,1,,10,40,estimation,"Playtest terrain #5 + débrief + implémentation fixes iOS tilt/touch. Sessions Claude Code comptabilisées via ccusage W25."
2026-06-22,phase2,"Rédaction épisode 4 LinkedIn — jet brut + construction + relecture (D01, D02)",claude-code,1,,,,mesure,"Tokens comptés automatiquement via ccusage. CO2e à calculer en fin de phase."
2026-06-23,phase3,"Enrichissement visuel thèmes — layout table unifié (thèmes 1–4), Nostalgie 2024 (fond noir, dégradé, pictogramme 2 raquettes, '2024'), texture grain Terre battue (canvas offscreen), documentation D22",claude-code,1,,,,mesure,"Tokens comptés automatiquement via ccusage. CO2e à calculer en fin de phase."
